symbol,sector,industry,exchange,market_cap_B
MSI,Technology,Communication Equipment,NYQ,73.14
AON,Financial Services,Insurance Brokers,NYQ,72.82
RACE,Consumer Cyclical,Auto Manufacturers,NYQ,72.55
MRVL,Technology,Semiconductors,NMS,72.53
INFY,Technology,Information Technology Services,NYQ,72.46
AJG,Financial Services,Insurance Brokers,NYQ,71.97
BCS,Financial Services,Banks - Diversified,NYQ,71.96
ITW,Industrials,Specialty Industrial Machinery,NYQ,71.64
ITUB,Financial Services,Banks - Regional,NYQ,71.59
APO,Financial Services,Asset Management,NYQ,71.5
VRT,Industrials,Electrical Equipment & Parts,NYQ,71.14
WMB,Energy,Oil & Gas Midstream,NYQ,70.19
ING,Financial Services,Banks - Diversified,NYQ,69.89
RSG,Industrials,Waste Management,NYQ,69.65
TEL,Technology,Electronic Components,NYQ,69.63
CP,Industrials,Railroads,NYQ,69.33
AMX,Communication Services,Telecom Services,NYQ,68.36
VST,Utilities,Utilities - Independent Power Producers,NYQ,68.26
MNST,Consumer Defensive,Beverages - Non-Alcoholic,NMS,68.05
FI,Technology,Information Technology Services,NYQ,68.04
LYG,Financial Services,Banks - Regional,NYQ,67.43
CSX,Industrials,Railroads,NMS,67.28
SPG,Real Estate,REIT - Retail,NYQ,67.18
EPD,Energy,Oil & Gas Midstream,NYQ,67.1
PYPL,Financial Services,Credit Services,NMS,66.66
ADSK,Technology,Software - Application,NMS,66.64
PWR,Industrials,Engineering & Construction,NYQ,65.7
CRWV,Technology,Software - Infrastructure,NMS,65.63
FTNT,Technology,Software - Infrastructure,NMS,65.56
CNQ,Energy,Oil & Gas E&P,NYQ,65.12
GM,Consumer Cyclical,Auto Manufacturers,NYQ,64.98
WDAY,Technology,Software - Application,NMS,64.81
DB,Financial Services,Banks - Regional,NYQ,64.76
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,NYQ,64.68
COR,Healthcare,Medical Distribution,NYQ,64.51
AZO,Consumer Cyclical,Auto Parts,NYQ,63.42
CL,Consumer Defensive,Household & Personal Products,NYQ,63.04
NSC,Industrials,Railroads,NYQ,62.94
DLR,Real Estate,REIT - Specialty,NYQ,62.62
HLT,Consumer Cyclical,Lodging,NYQ,62.24
AEP,Utilities,Utilities - Regulated Electric,NMS,62.03
EQNR,Energy,Oil & Gas Integrated,NYQ,61.88
NWG,Financial Services,Banks - Regional,NYQ,61.49
REGN,Healthcare,Biotechnology,NMS,61.26
ALNY,Healthcare,Biotechnology,NMS,60.75
SRE,Utilities,Utilities - Diversified,NYQ,60.54
TRV,Financial Services,Insurance - Property & Casualty,NYQ,60.2
MPC,Energy,Oil & Gas Refining & Marketing,NYQ,59.65
CNI,Industrials,Railroads,NYQ,59.54
FCX,Basic Materials,Copper,NYQ,59.4
URI,Industrials,Rental & Leasing Services,NYQ,58.12
EOG,Energy,Oil & Gas E&P,NYQ,58.08
CMI,Industrials,Specialty Industrial Machinery,NYQ,58.07
AXON,Industrials,Aerospace & Defense,NMS,57.78
KMI,Energy,Oil & Gas Midstream,NYQ,57.46
ET,Energy,Oil & Gas Midstream,NYQ,57.43
AFL,Financial Services,Insurance - Life,NYQ,57.32
FDX,Industrials,Integrated Freight & Logistics,NYQ,56.9
CPNG,Consumer Cyclical,Internet Retail,NYQ,56.79
APD,Basic Materials,Specialty Chemicals,NYQ,56.73
TFC,Financial Services,Banks - Regional,NYQ,56.53
B,Basic Materials,Gold,NYQ,55.48
NXPI,Technology,Semiconductors,NMS,55.25
CMG,Consumer Cyclical,Restaurants,NYQ,55.23
MFC,Financial Services,Insurance - Life,NYQ,55.16
F,Consumer Cyclical,Auto Manufacturers,NYQ,55.15
E,Energy,Oil & Gas Integrated,NYQ,54.97
LHX,Industrials,Aerospace & Defense,NYQ,54.86
O,Real Estate,REIT - Retail,NYQ,54.85
DDOG,Technology,Software - Application,NMS,54.57
PSX,Energy,Oil & Gas Refining & Marketing,NYQ,54.55
DEO,Consumer Defensive,Beverages - Wineries & Distilleries,NYQ,54.2
SLB,Energy,Oil & Gas Equipment & Services,NYQ,53.53
BDX,Healthcare,Medical Instruments & Supplies,NYQ,53.26
PSA,Real Estate,REIT - Industrial,NYQ,53.03
PCAR,Industrials,Farm & Heavy Construction Machinery,NMS,52.59
TRP,Energy,Oil & Gas Midstream,NYQ,52.43
