symbol,sector,industry,market_cap_B,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,bullish_volume_spikes,bearish_volume_spikes,bull_price_above_20ma,bull_price_above_50ma,bull_price_above_200ma,bull_ma_alignment,bull_strong_volume,bull_volume_trend_up,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_higher_highs,bull_obv_uptrend,bear_price_below_20ma,bear_price_below_50ma,bear_price_below_200ma,bear_ma_bearish_alignment,bear_strong_bearish_volume,bear_volume_trend_down,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_lower_lows,bear_obv_downtrend
PLUR,Healthcare,Biotechnology,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
MXC,Energy,Oil & Gas E&P,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False
SOHOO,Real Estate,REIT - Hotel & Motel,0.08,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False
MAMO,Consumer Cyclical,Recreational Vehicles,0.13,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,2,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False
SHPH,Healthcare,Drug Manufacturers - Specialty & Generic,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,1,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True
PTPI,Healthcare,Drug Manufacturers - Specialty & Generic,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,0,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False
HCTI,Healthcare,Health Information Services,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,0,2,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
SPI,Technology,Solar,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,1,2,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
YJ,Consumer Cyclical,Internet Retail,0.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",26.923076923076923,73.07692307692307,-46.153846153846146,0,2,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True
CRF,Financial Services,Asset Management,1.0,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,3,2,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
